school,city,county,applied,admitted,attended
CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,128,18,11
CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,18,4,
CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,36,3,3
CHULA VISTA HIGH SCHOOL,Chula Vista,San Diego,41,8,
CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,32,7,4
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,8,,
CITRUS HILL HIGH SCHOOL,Perris,Riverside,23,,
CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,29,3,
CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,26,,
CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,18,,
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,5,,
CLAIREMONT HIGH SCHOOL,San Diego,San Diego,22,3,
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,115,17,10
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,86,8,
CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,24,,
CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,127,11,7
CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,6,,
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,115,18,11
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,8,,
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,43,3,
CLOVIS HIGH SCHOOL,Clovis,Fresno,25,3,
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,113,20,6
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,51,6,
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,43,8,7
COALINGA HIGH SCHOOL,Coalinga,Fresno,21,,
COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,11,,
COBALT INSTITUTE OF MATH & SCIENCE,Victorville,San Bernardino,32,4,
COLFAX HIGH SCHOOL,Colfax,Placer,13,4,
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,35,6,4
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,103,11,9
COLONY HIGH SCHOOL,Ontario,San Bernardino,28,,
COLTON HIGH SCHOOL,Colton,San Bernardino,24,,
COLUSA HIGH SCHOOL,Colusa,Colusa,10,,
COMM&TECH SCHOOL RIVERA LRNG COMPLX,Los Angeles,Los Angeles,19,,
COMPTON EARLY COLLEGE HIGH SCH,Compton,Los Angeles,39,6,6
COMPTON HIGH SCHOOL,Compton,Los Angeles,31,,
CONCORD HIGH SCHOOL,Concord,Contra Costa,23,5,4
CONNECTING WATERS - EAST BAY,Waterford,Stanislaus,18,,
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,5,,
CORCORAN HIGH SCHOOL,Corcoran,Kings,20,6,
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,29,4,
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,117,17,10
CORONA HIGH SCHOOL,Corona,Riverside,28,5,
CORONADO HIGH SCHOOL,Coronado,San Diego,52,9,3
CORTINES SCHOOL VPA,Los Angeles,Los Angeles,57,12,4
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,22,4,
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,122,13,3
COVINA HIGH SCHOOL,Covina,Los Angeles,27,3,
CRAWFORD HIGH SCHOOL,San Diego,San Diego,41,12,5
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,7,,
CREDO HIGH SCHOOL ARTS/LETTERS/SCI,Rohnert Park,Sonoma,19,3,
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,18,,
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,200,32,8
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,24,4,
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,129,20,8
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,294,36,27
CYPRESS HIGH SCHOOL,Cypress,Orange,134,11,7
DA VINCI CHARTER ACADEMY,Davis,Yolo,20,,
DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,31,5,
DA VINCI CONNECT HIGH SCHOOL,El Segundo,Los Angeles,22,,
DA VINCI DESIGN HIGH SCHOOL,El Segundo,Los Angeles,13,,
DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,28,3,
DANA HILLS HIGH SCHOOL,Dana Point,Orange,63,6,
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,11,,
DAVID STARR JORDAN HS,Los Angeles,Los Angeles,14,,
DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,5,3,
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,225,22,14
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,45,8,8
DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,24,3,3
DEL CAMPO HIGH SCHOOL,Fair Oaks,Sacramento,25,,
DEL LAGO ACADEMY,Escondido,San Diego,32,4,
DEL MAR HIGH SCHOOL,San Jose,Santa Clara,32,3,3
DEL NORTE HIGH SCHOOL,San Diego,San Diego,281,33,14
DEL ORO HIGH SCHOOL,Bakersfield,Kern,13,,
DEL ORO HIGH SCHOOL,Loomis,Placer,29,6,
DELANO HIGH SCHOOL,Delano,Kern,23,,
DELHI HIGH SCHOOL,Delhi,Merced,15,3,
DENAIR HIGH SCHOOL,Denair,Stanislaus,6,,
DESERT HIGH SCHOOL,Edwards,Kern,7,,
DESERT HOT SPRINGS HS,Desert Hot Springs,Riverside,30,5,3
DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,35,7,4
DESIGN SCIENCE MIDDLE COLG HS,Fresno,Fresno,33,6,5
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,72,12,9
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,299,54,32
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,26,,
DINUBA HIGH SCHOOL,Dinuba,Tulare,24,,
DIXON HIGH SCHOOL,Dixon,Solano,25,,
DOMINGUEZ HIGH SCHOOL,Compton,Los Angeles,35,5,
DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino,16,3,3
DOS PALOS HIGH SCHOOL,Dos Palos,Merced,10,,
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,155,20,11
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,542,44,32
DOWNEY HIGH SCHOOL,Downey,Los Angeles,98,8,3
DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,33,3,
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,50,5,
DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,29,8,3
DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,24,6,3
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,53,9,3
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,34,7,4
DUARTE HIGH SCHOOL,Duarte,Los Angeles,23,,
DUBLIN HIGH SCHOOL,Dublin,Alameda,435,40,27
DUNCAN POLYTECHNICAL HS,Fresno,Fresno,17,3,
DURHAM HIGH SCHOOL,Durham,Butte,5,,
E3 CIVIC HIGH,San Diego,San Diego,10,,
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,98,21,16
EARLY COLLEGE ACAD LA TRADE TECH,Los Angeles,Los Angeles,10,,
EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,11,,
EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,37,4,
EAST BAY INNOVATION ACADEMY,Oakland,Alameda,21,4,4
EAST COLLEGE PREP,Los Angeles,Los Angeles,19,,
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,8,,
EAST UNION HIGH SCHOOL,Manteca,San Joaquin,19,,
EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,11,,
EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,8,3,
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,133,10,7
EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,25,4,
EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,18,,
EDISON HIGH SCHOOL,Fresno,Fresno,62,21,13
EDISON HIGH SCHOOL,Huntington Beach,Orange,55,10,7
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,33,,
EDWARD C MERLO INSTITUTE,Stockton,San Joaquin,6,,
EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,26,5,
EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,37,,
EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,15,5,
EL CAMINO FUNDAMENTAL HS,Sacramento,Sacramento,27,,
EL CAMINO HIGH,South San Francisco,San Mateo,61,5,4
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,38,,
EL CAMINO HIGH SCHOOL,Ventura,Ventura,11,,
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,109,8,3
EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,36,3,
EL CAPITAN HIGH SCHOOL,Merced,Merced,41,11,6
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,119,27,18
EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,26,5,
EL DORADO HIGH SCHOOL,Placentia,Orange,51,4,
EL DORADO HIGH SCHOOL,Placerville,El Dorado,18,,
EL MODENA HIGH SCHOOL,Orange,Orange,29,3,
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,42,4,
EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,50,11,3
EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,106,12,7
EL TORO HIGH SCHOOL,Lake Forest,Orange,52,,
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,159,23,8
ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,15,,
ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,46,,
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,16,,
ELSINORE HIGH SCHOOL,Wildomar,Riverside,18,3,
EMERY SECONDARY SCHOOL,Emeryville,Alameda,14,4,3
ENCINA HIGH SCHOOL,Sacramento,Sacramento,5,,
ENCINAL HIGH SCHOOL,Alameda,Alameda,62,5,4
ENTERPRISE HIGH SCHOOL,Redding,Shasta,17,,
ENVIRONMENTAL CHARTER HIGH SCH,Gardena,Los Angeles,7,,
