"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 5,2016,14,401,94,14,3,3,15,16,0,0
HHS Regions,Region 6,2016,14,188,14,18,1,10,12,16,0,0
HHS Regions,Region 7,2016,14,64,20,4,1,1,3,7,0,0
HHS Regions,Region 8,2016,14,151,45,20,0,5,9,31,0,0
HHS Regions,Region 9,2016,14,491,81,34,2,33,26,50,0,0
HHS Regions,Region 10,2016,14,273,67,20,1,44,1,8,0,0
HHS Regions,Region 1,2016,15,146,38,7,1,32,7,3,0,0
HHS Regions,Region 2,2016,15,138,26,12,0,9,14,12,0,0
HHS Regions,Region 3,2016,15,278,61,3,1,14,25,32,0,0
HHS Regions,Region 4,2016,15,204,30,10,5,11,8,10,0,0
HHS Regions,Region 5,2016,15,354,60,10,4,4,8,26,0,0
HHS Regions,Region 6,2016,15,150,16,13,1,18,4,6,0,0
HHS Regions,Region 7,2016,15,49,15,4,1,1,3,1,0,0
HHS Regions,Region 8,2016,15,114,37,15,0,0,5,22,0,0
HHS Regions,Region 9,2016,15,433,50,30,3,25,12,37,0,0
HHS Regions,Region 10,2016,15,224,50,13,0,34,2,13,0,0
HHS Regions,Region 1,2016,16,133,26,13,0,25,3,1,0,0
HHS Regions,Region 2,2016,16,149,23,9,5,27,12,10,0,0
HHS Regions,Region 3,2016,16,269,44,11,1,23,26,37,0,0
HHS Regions,Region 4,2016,16,179,29,7,4,27,6,9,0,0
HHS Regions,Region 5,2016,16,270,39,6,2,2,12,24,0,0
HHS Regions,Region 6,2016,16,145,16,14,0,14,7,7,0,0
HHS Regions,Region 7,2016,16,49,11,2,1,0,2,10,0,0
HHS Regions,Region 8,2016,16,90,17,13,1,3,6,20,0,0
HHS Regions,Region 9,2016,16,368,35,32,1,17,11,39,0,0
